Filename,MFCC_Extraction_Time_s
../dataset/raw_audio\Actor_06\03-01-01-01-01-02-06.wav,0.0194
../dataset/raw_audio\Actor_06\03-01-01-01-02-01-06.wav,0.0223
../dataset/raw_audio\Actor_06\03-01-01-01-02-02-06.wav,0.0131
../dataset/raw_audio\Actor_06\03-01-02-01-01-01-06.wav,0.0164
../dataset/raw_audio\Actor_06\03-01-02-01-01-02-06.wav,0.0155
../dataset/raw_audio\Actor_06\03-01-02-01-02-01-06.wav,0.0159
../dataset/raw_audio\Actor_06\03-01-02-01-02-02-06.wav,0.0160
../dataset/raw_audio\Actor_06\03-01-02-02-01-01-06.wav,0.0179
../dataset/raw_audio\Actor_06\03-01-02-02-01-02-06.wav,0.0190
../dataset/raw_audio\Actor_06\03-01-02-02-02-01-06.wav,0.0173
../dataset/raw_audio\Actor_06\03-01-02-02-02-02-06.wav,0.0203
../dataset/raw_audio\Actor_06\03-01-03-01-01-01-06.wav,0.0150
../dataset/raw_audio\Actor_06\03-01-03-01-01-02-06.wav,0.0130
../dataset/raw_audio\Actor_06\03-01-03-01-02-01-06.wav,0.0143
../dataset/raw_audio\Actor_06\03-01-03-01-02-02-06.wav,0.0141
../dataset/raw_audio\Actor_06\03-01-03-02-01-01-06.wav,0.0147
../dataset/raw_audio\Actor_06\03-01-03-02-01-02-06.wav,0.0157
../dataset/raw_audio\Actor_06\03-01-03-02-02-01-06.wav,0.0150
../dataset/raw_audio\Actor_06\03-01-03-02-02-02-06.wav,0.0163
../dataset/raw_audio\Actor_06\03-01-04-01-01-01-06.wav,0.0154
../dataset/raw_audio\Actor_06\03-01-04-01-01-02-06.wav,0.0148
../dataset/raw_audio\Actor_06\03-01-04-01-02-01-06.wav,0.0160
../dataset/raw_audio\Actor_06\03-01-04-01-02-02-06.wav,0.0130
../dataset/raw_audio\Actor_06\03-01-04-02-01-01-06.wav,0.0163
../dataset/raw_audio\Actor_06\03-01-04-02-01-02-06.wav,0.0153
../dataset/raw_audio\Actor_06\03-01-04-02-02-01-06.wav,0.0164
../dataset/raw_audio\Actor_06\03-01-04-02-02-02-06.wav,0.0151
../dataset/raw_audio\Actor_06\03-01-05-01-01-01-06.wav,0.0140
../dataset/raw_audio\Actor_06\03-01-05-01-01-02-06.wav,0.0168
../dataset/raw_audio\Actor_06\03-01-05-01-02-01-06.wav,0.0165
../dataset/raw_audio\Actor_06\03-01-05-01-02-02-06.wav,0.0163
../dataset/raw_audio\Actor_06\03-01-05-02-01-01-06.wav,0.0181
../dataset/raw_audio\Actor_06\03-01-05-02-01-02-06.wav,0.0190
../dataset/raw_audio\Actor_06\03-01-05-02-02-01-06.wav,0.0196
../dataset/raw_audio\Actor_06\03-01-05-02-02-02-06.wav,0.0215
../dataset/raw_audio\Actor_06\03-01-06-01-01-01-06.wav,0.0233
../dataset/raw_audio\Actor_06\03-01-06-01-01-02-06.wav,0.0200
